Category,User,Bot
Admin Oversight,Can I track audit log entries for manual overrides in the Pre-Arrival List?,Use the 'Pre-Arrival List' to filter for vessels with ETA past due and no submission status.
Admin Oversight,What filters can I use in the Port Call Management Dashboard?,Go to 'Audit Logs' in 'Analytics & Reports' to view any manual data overrides by admin or agency users.
Admin Oversight,Can I track audit log entries for manual overrides in the Pre-Arrival List?,Cargo operations completion is logged by agents and visible under the 'Cargo operations' tab in each port call.
Admin Oversight,What filters can I use in the Port Call Management Dashboard?,Cargo operations completion is logged by agents and visible under the 'Cargo operations' tab in each port call.
Admin Oversight,How can I monitor all port calls across Abu Dhabi and Dubai?,Vessels without pilot boarding entries will appear flagged in the 'Pilot boarding' section of the Port Call Dashboard.
Admin Oversight,Where do I find overdue vessels that haven’t submitted Pre-Arrival Notifications?,Cargo operations completion is logged by agents and visible under the 'Cargo operations' tab in each port call.
Admin Oversight,Can I track audit log entries for manual overrides in the Pre-Arrival List?,Use the 'Pre-Arrival List' to filter for vessels with ETA past due and no submission status.
Admin Oversight,Can I export daily port clearance statistics for all Emirates?,Use the 'Pre-Arrival List' to filter for vessels with ETA past due and no submission status.
Admin Oversight,How do I know if berthing is delayed due to compliance inspection?,Cargo operations completion is logged by agents and visible under the 'Cargo operations' tab in each port call.
Admin Oversight,Where do I find overdue vessels that haven’t submitted Pre-Arrival Notifications?,Use the 'Pre-Arrival List' to filter for vessels with ETA past due and no submission status.
Admin Oversight,How do I track vessel movement from anchorage to berthing?,Vessels without pilot boarding entries will appear flagged in the 'Pilot boarding' section of the Port Call Dashboard.
Admin Oversight,Can I track audit log entries for manual overrides in the Pre-Arrival List?,Clearance status for each agency is color-coded and visible in the main dashboard with tooltips for agency remarks.
Admin Oversight,Can I track audit log entries for manual overrides in the Pre-Arrival List?,Compliance-linked delays to berthing are flagged in remarks on the berthing entry screen. Cross-check with inspection status.
Admin Oversight,Which report shows vessels that skipped pilot boarding?,Go to 'Audit Logs' in 'Analytics & Reports' to view any manual data overrides by admin or agency users.
Admin Oversight,How do I track vessel movement from anchorage to berthing?,Vessels without pilot boarding entries will appear flagged in the 'Pilot boarding' section of the Port Call Dashboard.
Admin Oversight,How do I know if berthing is delayed due to compliance inspection?,Daily port clearance summaries can be generated from 'Analytics & Reports > Reports & Export'. Choose 'Clearance Summary by Emirate'.
Admin Oversight,Where do I find overdue vessels that haven’t submitted Pre-Arrival Notifications?,"Each vessel's transition through anchorage, pilot boarding, and berthing is tracked in the port call timeline under 'Port Call Details'."
Admin Oversight,How do I know if berthing is delayed due to compliance inspection?,Clearance status for each agency is color-coded and visible in the main dashboard with tooltips for agency remarks.
