log_id,timestamp,user,module,action,description
0a2749ac,2025-07-05 12:35:46,port_user,PortCall,CREATE,Performed DELETE operation on CargoDeclaration module.
6ee659c4,2025-06-28 05:35:46,dockmaster,PreArrival,CREATE,Performed UPDATE operation on PassengerList module.
2c2d6fff,2025-07-04 21:35:46,admin01,PreArrival,CREATE,Performed UPDATE operation on Dashboard module.
61e27e01,2025-07-05 19:35:46,agent_652,CargoDeclaration,REJECT,Performed APPROVE operation on Dashboard module.
7ff4ae98,2025-07-05 03:35:46,dockmaster,CargoDeclaration,DELETE,Performed APPROVE operation on CrewManifest module.
d5e3f741,2025-07-04 09:35:46,admin01,PreArrival,VIEW,Performed UPDATE operation on VesselRegistry module.
d38c267d,2025-06-28 18:35:46,port_user,PortCall,CREATE,Performed DELETE operation on PassengerList module.
2028119b,2025-07-04 01:35:46,supervisor,PreArrival,DELETE,Performed REJECT operation on Dashboard module.
51048404,2025-06-30 05:35:46,port_user,PreArrival,REJECT,Performed CREATE operation on Dashboard module.
3b90e85d,2025-07-02 06:35:46,agent_652,PreArrival,CREATE,Performed EXPORT operation on VesselRegistry module.
bdb6ec1c,2025-07-04 21:35:46,admin01,PortCall,UPDATE,Performed DELETE operation on CrewManifest module.
fae8b08c,2025-06-28 05:35:46,inspector,CargoDeclaration,APPROVE,Performed REJECT operation on PassengerList module.
947b3590,2025-06-29 20:35:46,supervisor,Dashboard,VIEW,Performed REJECT operation on PortCall module.
ff7567bd,2025-07-05 09:35:46,dockmaster,CrewManifest,CREATE,Performed EXPORT operation on VesselRegistry module.
870c5b1e,2025-07-02 20:35:46,port_user,PreArrival,DELETE,Performed VIEW operation on PortCall module.
8d8017da,2025-07-03 23:35:46,port_user,CrewManifest,CREATE,Performed APPROVE operation on Dashboard module.
f2d36dda,2025-07-05 19:35:46,supervisor,VesselRegistry,REJECT,Performed DELETE operation on PassengerList module.
de6a916e,2025-07-05 23:35:46,agent_652,CrewManifest,DELETE,Performed APPROVE operation on CargoDeclaration module.
964d19e6,2025-07-05 10:35:46,inspector,PreArrival,VIEW,Performed VIEW operation on PreArrival module.
f59d8593,2025-07-02 16:35:46,inspector,PortCall,APPROVE,Performed CREATE operation on Dashboard module.
35113738,2025-06-29 10:35:46,inspector,CrewManifest,APPROVE,Performed CREATE operation on PortCall module.
f623f45e,2025-07-04 14:35:46,inspector,VesselRegistry,UPDATE,Performed EXPORT operation on PassengerList module.
6f5fe9e0,2025-07-04 20:35:46,port_user,PreArrival,REJECT,Performed VIEW operation on PortCall module.
33d8c233,2025-07-06 04:35:46,agent_652,PreArrival,DELETE,Performed APPROVE operation on CargoDeclaration module.
b55de01b,2025-06-30 15:35:46,admin01,PreArrival,VIEW,Performed EXPORT operation on PortCall module.
bde1cf3e,2025-06-30 14:35:46,agent_652,Dashboard,DELETE,Performed REJECT operation on PreArrival module.
c531c61e,2025-07-04 11:35:46,dockmaster,Dashboard,APPROVE,Performed UPDATE operation on CargoDeclaration module.
7d96c5fe,2025-07-05 08:35:46,port_user,CrewManifest,DELETE,Performed DELETE operation on VesselRegistry module.
0a28aa30,2025-07-03 04:35:46,supervisor,Dashboard,EXPORT,Performed CREATE operation on PortCall module.
f2d4bc12,2025-07-03 02:35:46,supervisor,PassengerList,APPROVE,Performed VIEW operation on CrewManifest module.
d69aa56d,2025-07-04 10:35:46,supervisor,CrewManifest,DELETE,Performed REJECT operation on Dashboard module.
8c6b7c5d,2025-06-30 06:35:46,agent_652,CargoDeclaration,CREATE,Performed DELETE operation on CrewManifest module.
d980c84d,2025-07-05 02:35:46,supervisor,CargoDeclaration,DELETE,Performed VIEW operation on CargoDeclaration module.
89dcda63,2025-07-01 18:35:46,auditor,Dashboard,UPDATE,Performed DELETE operation on CargoDeclaration module.
def0c05c,2025-06-29 15:35:46,port_user,Dashboard,REJECT,Performed UPDATE operation on CargoDeclaration module.
2ef69bd6,2025-07-02 16:35:46,auditor,PortCall,DELETE,Performed VIEW operation on Dashboard module.
66e1a1c5,2025-07-01 18:35:46,admin01,VesselRegistry,REJECT,Performed CREATE operation on VesselRegistry module.
bf2e030f,2025-07-04 16:35:46,port_user,VesselRegistry,DELETE,Performed DELETE operation on CargoDeclaration module.
b1ef635f,2025-07-02 14:35:46,auditor,CargoDeclaration,EXPORT,Performed DELETE operation on Dashboard module.
38a787ab,2025-07-02 21:35:46,auditor,VesselRegistry,VIEW,Performed UPDATE operation on VesselRegistry module.
3e4436c3,2025-07-04 04:35:46,dockmaster,PassengerList,DELETE,Performed CREATE operation on CargoDeclaration module.
63451fd9,2025-07-03 06:35:46,admin01,PreArrival,EXPORT,Performed DELETE operation on PreArrival module.
c1927bf9,2025-07-03 08:35:46,admin01,CargoDeclaration,VIEW,Performed REJECT operation on VesselRegistry module.
1ac7a65d,2025-06-30 04:35:46,admin01,PassengerList,DELETE,Performed APPROVE operation on CrewManifest module.
a68d9832,2025-06-30 11:35:46,port_user,CargoDeclaration,EXPORT,Performed VIEW operation on CrewManifest module.
3bd05986,2025-07-04 07:35:46,agent_652,CargoDeclaration,UPDATE,Performed EXPORT operation on CargoDeclaration module.
e10ebdf4,2025-07-03 08:35:46,inspector,PassengerList,UPDATE,Performed EXPORT operation on Dashboard module.
dc8210c4,2025-07-03 08:35:46,admin01,VesselRegistry,UPDATE,Performed DELETE operation on CrewManifest module.
7e5936b8,2025-07-01 04:35:46,auditor,Dashboard,CREATE,Performed APPROVE operation on PortCall module.
6937cbe3,2025-07-01 17:35:46,admin01,Dashboard,DELETE,Performed DELETE operation on PassengerList module.
6a980709,2025-07-02 08:35:46,port_user,PreArrival,REJECT,Performed EXPORT operation on CargoDeclaration module.
d39c47bc,2025-07-04 02:35:46,auditor,Dashboard,APPROVE,Performed UPDATE operation on Dashboard module.
e8ce0d2d,2025-06-28 09:35:46,inspector,VesselRegistry,DELETE,Performed CREATE operation on PassengerList module.
97ab1ec8,2025-07-04 08:35:46,dockmaster,CargoDeclaration,UPDATE,Performed REJECT operation on PreArrival module.
628d569e,2025-07-05 03:35:46,agent_652,VesselRegistry,DELETE,Performed EXPORT operation on CargoDeclaration module.
ed7c54ae,2025-06-28 05:35:46,port_user,VesselRegistry,DELETE,Performed CREATE operation on VesselRegistry module.
dc075cdc,2025-06-30 20:35:46,supervisor,CargoDeclaration,APPROVE,Performed REJECT operation on VesselRegistry module.
1ef19409,2025-06-29 08:35:46,auditor,CrewManifest,REJECT,Performed VIEW operation on CargoDeclaration module.
266c88c2,2025-07-03 00:35:46,port_user,PassengerList,DELETE,Performed UPDATE operation on CargoDeclaration module.
e37f2849,2025-07-04 19:35:46,inspector,CargoDeclaration,VIEW,Performed REJECT operation on Dashboard module.
ab59d3cc,2025-06-29 04:35:46,port_user,PassengerList,APPROVE,Performed CREATE operation on PassengerList module.
10b0bb02,2025-07-06 01:35:46,inspector,PortCall,UPDATE,Performed UPDATE operation on PassengerList module.
074b84a3,2025-07-05 05:35:46,inspector,CargoDeclaration,REJECT,Performed VIEW operation on PortCall module.
86f51122,2025-07-04 09:35:46,inspector,Dashboard,REJECT,Performed APPROVE operation on PortCall module.
